Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Point Roberts,Washington,3017,US-Canada Border,Jan 2020,Personal Vehicle Passengers,76683,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Roosville,Montana,3318,US-Canada Border,Feb 2019,Bus Passengers,70,49.000,-115.056,POINT (-115.056027 48.999638)
Point Roberts,Washington,3017,US-Canada Border,May 2020,Truck Containers Empty,66,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Ogdensburg,New York,0701,US-Canada Border,Feb 2018,Truck Containers Empty,667,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Skagway,Alaska,3103,US-Canada Border,Oct 2018,Trucks,214,59.630,-135.164,POINT (-135.164444 59.629722)
Richford,Vermont,0203,US-Canada Border,Feb 2020,Personal Vehicle Passengers,11100,45.012,-72.589,POINT (-72.588559 45.01174)
Douglas,Arizona,2601,US-Mexico Border,Feb 2019,Buses,44,31.334,-109.560,POINT (-109.560344 31.334043)
Northgate,North Dakota,3406,US-Canada Border,Apr 2020,Rail Containers Empty,179,48.999,-102.275,POINT (-102.27475 48.998833)
Trout River,New York,0715,US-Canada Border,Sep 2017,Rail Containers Loaded,2359,44.992,-74.308,POINT (-74.308172 44.992058)
Champlain Rouses Point,New York,0712,US-Canada Border,Jun 2019,Bus Passengers,30432,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Beecher Falls,Vermont,0206,US-Canada Border,Jan 2019,Personal Vehicle Passengers,4579,45.013,-71.505,POINT (-71.505309 45.013411)
Calexico East,California,2507,US-Mexico Border,Oct 2019,Trains,21,32.673,-115.388,POINT (-115.388018 32.673389)
Opheim,Montana,3317,US-Canada Border,Jun 2019,Personal Vehicles,371,49.000,-106.378,POINT (-106.377583 48.999527)
Jackman,Maine,0104,US-Canada Border,Apr 2019,Personal Vehicle Passengers,13998,45.806,-70.397,POINT (-70.396722 45.805661)
Otay Mesa,California,2506,US-Mexico Border,Feb 2019,Rail Containers Empty,199,32.550,-116.939,POINT (-116.938538 32.55033)
Dunseith,North Dakota,3422,US-Canada Border,Jun 2019,Truck Containers Loaded,2394,48.999,-100.052,POINT (-100.052166 48.999277)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Feb 2018,Truck Containers Loaded,57680,43.095,-79.056,POINT (-79.055847 43.09549)
Detroit,Michigan,3801,US-Canada Border,Apr 2018,Bus Passengers,5594,42.332,-83.048,POINT (-83.047924 42.331685)
Lancaster,Minnesota,3430,US-Canada Border,Oct 2018,Buses,3,49.000,-96.801,POINT (-96.800527 49.000194)
Port Angeles,Washington,3007,US-Canada Border,Jan 2018,Bus Passengers,45,48.122,-123.431,POINT (-123.430694 48.121858)
Pembina,North Dakota,3401,US-Canada Border,Sep 2018,Rail Containers Loaded,12663,49.000,-97.237,POINT (-97.237036 49.000453)
